Director,Average Popularity Score
Karen Lam,4.220714285714286
Ethan Wiley,4.2055
Charles Band,4.20384375
Mercedes Bryce Morgan,4.195333333333333
Jacob Gentry,4.157
Michael Bafaro,4.147833333333334
David Cronenberg,4.145
Antonio Padovan,4.1335
LazRael Lison,4.082
Jeremy Kasten,4.0774
Russ Emanuel,4.0685
Éric Tessier,4.044333333333333
Vincenzo Natali,4.039
Ted Nicolaou,4.0105
John Berardo,4.0
Daniel DelPurgatorio,3.9923333333333333
Serge Rodnunsky,3.9921666666666673
Hank Braxtan,3.9823999999999997
David Lynch,3.9658333333333338
Matt Codd,3.9566666666666666
Robert Kubilos,3.9386666666666668
Jon Keeyes,3.938333333333334
Jon Salmon,3.9314999999999998
Anthony Cousins,3.9196
Billy Senese,3.8906666666666667
Alan Resnick,3.867
Nick Everhart,3.86275
Harrison Smith,3.85
John Carl Buechler,3.8464
Adam Green,3.8314
L. Gustavo Cooper,3.8203333333333336
Samuel Gonzalez Jr.,3.8023333333333333
Gregg Bishop,3.79975
Rolfe Kanefsky,3.7821428571428575
Duane Graves,3.771666666666667
Alexander T. Hwang,3.7664999999999997
Tammi Sutton,3.7649999999999997
Albert Pyun,3.718666666666667
Lewis Schoenbrun,3.685
Martin Owen,3.6765
Timothy Woodward Jr.,3.65425
John Geddes,3.6115000000000004
Jeff Burr,3.6100000000000003
Tom DeNucci,3.584
Mark Cantu,3.575333333333333
Turner Clay,3.54725
Justin McConnell,3.5354999999999994
Benjamin Cooper,3.5139999999999993
Carter Smith,3.496
Adam Deyoe,3.4400000000000004
Martin Munthe,3.438
David Worth,3.4355
Jose Prendes,3.42
Robert Conway,3.3980000000000006
Amelia Moses,3.37975
Brandon Slagle,3.3746666666666667
John R. Walker,3.373
Greg Nicotero,3.368
George Mendeluk,3.363
Patricia Chica,3.346
Douglas Schulze,3.3426666666666667
Joel Potrykus,3.3373333333333335
Philip Gelatt,3.313
Paul Moore,3.313
Brett Bentman,3.31275
Larry Fessenden,3.3051666666666666
Mitch Marcus,3.297
Larry Blamire,3.287
Donald F. Glut,3.2700000000000005
Herschell Gordon Lewis,3.268
Fred Olen Ray,3.2666666666666666
Shawn Burkett,3.266
Jason Toler,3.2535000000000003
Trent Duncan,3.2474999999999996
Tony Jopia,3.245
Mark Edwin Robinson,3.204
Philippe Gagnon,3.1886666666666668
Kevin VanHook,3.1788
John Oak Dalton,3.170666666666667
Ryan M. Andrews,3.168
Chelsea Stardust,3.1675
Mickey Keating,3.161142857142857
David DeCoteau,3.139696428571429
Matt Zettell,3.133
Harry Basil,3.124
Michael Merino,3.106
Simon Rumley,3.093
Andy Palmer,3.03925
Braden Croft,3.0215
Andrew Cymek,3.015
Rodney Ascher,3.0056666666666665
James Kondelik,3.0
Jesse Thomas Cook,2.979333333333333
Danny Draven,2.9661
Michael Feifer,2.9615714285714283
David Jackson,2.9615
Joshua Butler,2.96
Elias Ganster,2.9595000000000002
Sean Cain,2.9570000000000003
Jesús Franco,2.9530000000000003
Ben Rock,2.945
David Mikalson,2.934
Jason Eisener,2.9210000000000003
Emmanuel Itier,2.904
Rodrigo Gudiño,2.895
Dan Lantz,2.87575
David Michael Latt,2.859
Jason William Lee,2.8515
Gary Orona,2.851
Paul Wynne,2.845666666666667
Luke Jaden,2.8386666666666667
Donald Farmer,2.837625
Matthan Harris,2.827
Jack Mulvanerty,2.8120000000000003
Cody Knotts,2.8049999999999997
Tommy Faircloth,2.7996666666666665
Harley Wallen,2.795
Massimiliano Cerchi,2.7876666666666665
Rod Blackhurst,2.77675
Tricia Lee,2.7720000000000002
Robbie Banfitch,2.7652
Jeff Leroy,2.7651
Miles Doleac,2.757
Andrew Bowser,2.7565
Stuart Stone,2.7550000000000003
Owen Oswald,2.7520000000000002
Buz Wallick,2.7405
J.R. Bookwalter,2.7355
Jeff Burton,2.724
Audrey Cummings,2.7223333333333333
Dale Resteghini,2.7116666666666664
Rusty Nixon,2.6946666666666665
